epoch,acc,loss,val_acc,val_loss
0,0.36457707457305577,1.9274221435711518,0.4611481976763747,1.5477785640151225
1,0.5274717938486951,1.4017283387993993,0.4947930575292483,1.524675470773623
2,0.5822151011415982,1.2685521983863182,0.4841121496520787,1.6814134297606464
3,0.6333533613725882,1.1478695655592899,0.5463284377898966,1.4574139762147564
4,0.6640630215655119,1.080539027977168,0.4763684914490887,1.7334859163643361
5,0.6830228987288607,1.0202027549929242,0.5014686249524792,1.626363914639991
6,0.7090593497603047,0.9705015505014382,0.6801068092220138,1.119305168038535
7,0.7158688831069902,0.9333087427290301,0.7570093459694662,0.8166769599723561
8,0.7270845850857868,0.8994108345845774,0.7481975969708013,0.8384515679248662
9,0.7426396955738033,0.867009408899824,0.7778371163299469,0.7402835004001816
10,0.7425061753121036,0.8510753084900534,0.7794392522568696,0.7182191033707124
11,0.7544562387382071,0.8267066816285962,0.8024032044633527,0.6562832657899335
12,0.7617998531316913,0.7931133832033171,0.7842456610721644,0.7035902977785535
13,0.7747513185165635,0.7663271730191574,0.7783711617397212,0.7109606975388623
14,0.7714133119700914,0.7534997626015958,0.8032042725541404,0.6469519831787283
15,0.7760865211335606,0.7459617273631963,0.8024032044792685,0.6513032993264447
16,0.776820882572909,0.7386272243906209,0.7975967956480579,0.6574397422761242
17,0.7853661793216907,0.7217965035948195,0.8040053403902754,0.6418667067672923
18,0.7906402296588293,0.6993611870433406,0.8050734311620765,0.640754627067352
19,0.7891047466492827,0.705936671349878,0.8173564754754743,0.5906875446896368
20,0.79517991855463,0.6835259196516175,0.8365821096702952,0.5422813721906359
21,0.7980506041791842,0.6776820488407899,0.8392523366395876,0.5403555527548287
22,0.7999866479778093,0.6626215945083457,0.8264352469164157,0.5884401549802762
23,0.8059282996234465,0.6543408700800506,0.8218958610686187,0.5774262540012558
24,0.8037252153014219,0.6583823443133832,0.8395193593365169,0.527913432987096
25,0.8090660257694106,0.6458393837340135,0.847530040244394,0.5012111893164937
26,0.8062621002757061,0.6556708813270713,0.8504672899106157,0.48985340103447356
27,0.8133386741438013,0.6252050964191971,0.8531375166252554,0.4796148363515755
28,0.8134721944094803,0.622267253038856,0.8400534044598069,0.5330467036633052
29,0.8122705120502036,0.6246962889487283,0.8520694258375384,0.4807799753582525
30,0.8164096401628947,0.615150904835914,0.8469959945958829,0.502425253693666
31,0.8177448427798919,0.6066854428455171,0.8531375168958238,0.47980277052867876
32,0.8125375525775823,0.6222511836640292,0.856074766291477,0.4693963049409864
33,0.8218839708965622,0.6003028708996,0.8526034714860496,0.48637022612410014
34,0.8216836905040126,0.5994317577267069,0.8344459278402087,0.5545960964443528
35,0.8256225382221645,0.5824484262712187,0.8477970629572391,0.5156400713646841
36,0.8257560584858539,0.5911545429531202,0.8520694260921912,0.48813247247754493
37,0.8277588624073703,0.5898858131982585,0.8598130840484863,0.46083017855047065
38,0.8256892983550039,0.575011334481167,0.8622162885755023,0.4526341086395274
39,0.8260898591401031,0.5833580294170465,0.8485981307774583,0.5086783967762987
40,0.8296949062020161,0.5716471391533474,0.8515353804436799,0.49022055552384564
41,0.8294278656806063,0.5710392501581988,0.850467289655963,0.496496102106428
42,0.8280926630655988,0.566646127422579,0.857676902743621,0.46247099302162
43,0.837772882038828,0.5515036099810523,0.8598130840484863,0.46339209024037153
44,0.8341678349729358,0.5563750580849511,0.8635514018054957,0.44473568969797866
